foreign_key_name,foreign_key_name,foreign_key_name,"",min_amount,max_amount,year_incurred,rate,term
1,Mortgage on Personal Residence,1000000,2016,2.74,30 years,
1,Home Equity Line of Credit,50000,2016,4.49,Revolving,
1,Mortgage on Personal Residence,1000000,2011,3.91,30,
1,Home Equity Line of Credit,50000,2013,4.15,Revolving,
2,Student Loan,100000,2004,3.375,30 years,
3,Credit Card,50000,2017,,,
3,CAPITAL CALL STRUCTURE ALTERNATIVE INVESTMENT,250000,2014,NA,ON DEMAND,
3,CAPITAL CALL STRUCTURE ALTERNATIVE INVESTMENT,250000,2014,NA,ON DEMAND,
4,Personal Loan,250000,2015,5%,4 year,
5,Mortgage (investment/ren tal property),500000,2002,3.13%,30 YEAR,
5,Mortgage (investment/ren tal property),500000,2006,3.63%,Matures January 2037,
5,Mortgage (investment/ren tal property),1000000,2004,3.63%,30 YEAR,
5,Mortgage (investment/ren tal property),250000,2015,4.13%,30 YEAR,
5,SECURED RECOURSE PROMISSORY NOTE,100000,2016,3.50%,5 YEARS,
6,Credit Card,15000,2015,17.74% and 29.74%,open-ended,
6,Student Loan,50000,2004,3.63%,8/2036,
6,Student Loan,50000,2004,3.63%,8/2036,
7,Student Loan,50000,2002,4.7,,
8,Mortgage on Personal Residence,1000000,2016,3.50%,30 years,
8,Mortgage on Personal Residence,1000000,2012,4.50%,29 years,
9,Mortgage (investment/ren tal property),250000,2005,3.50%,5/1 ARM Mortgage from 2005,
10,Credit Card,50000,2017,Paid in Full Every Month,revolving,
10,Exercised Line of Credit,1000000,2016,3.5,NA- revolving line of credit,
11,Student Loan,100000,2003,1.625,20 year,
12,Mortgage on Personal Residence,1000000,2011,2.88%,30,
12,Exercised Line of Credit,250000,2011,4.00%,5,
13,Student Loan,50000,2006,1.875,20,
14,Mortgage on Personal Residence,500000,2013,3.80%,30 years,
15,Student Loan,15000,2006,4.38,141 Months,
16,Mortgage on Personal Residence,500000,2013,3.125,30,
16,Mortgage on Personal Residence,500000,2011,4,10,
17,Student Loan,50000,2001,3.875,134 months,
18,,15000,,,,
19,Student Loan,250000,2001,4%,30 years,
19,Mortgage (investment/ren tal property),15000,2006,5.25%,30 years,
19,Credit Card,15000,2016,16.49%,revolving,
19,Student Loan,100000,2001,4%,30 years,
19,Taxes,50000,2012,n/a,5 years,
20,Mortgage (investment/ren tal property),500000,2013,3.60%,30-Year,
20,Exercised Line of Credit,100000,2012,2.50%,10-Year,
20,Student Loan,100000,2002,4.38%,30-year,
20,Student Loan,100000,2004,5.38%,30-year,
21,Capital Call,100000,2004,n/a,On Demand,
21,Capital Call,5000000,2007,n/a,On Demand,
21,Capital Call,50000,2006,n/a,On Demand,
21,Capital Call,100000,2000,n/a,On Demand,
21,Capital Call,50000,2012,n/a,On Demand,
22,Credit Card,50000,2017,,,
23,Credit Card,15000,2013,15%,revolving credit,
23,Installment Agreement,50000,2012,3%,on demand,
23,Credit Card,50000,2012,16.74%,revolving credit,
24,Credit Card,50000,2016,15.74,revolving credit,
25,Mortgage (investment/ren tal property),250000,2006,2.5,30 YR- ARM,
25,Mortgage (investment/ren tal property),250000,2005,5,30 YR,
25,Mortgage (investment/ren tal property),250000,2010,4.375,30YR,
25,HELOC,500000,2013,5,10 YR,
25,Mortgage (investment/ren tal property),500000,2007,5,30 YR,
26,Mortgage (investment/ren tal property),250000,2010,4.875,30,
27,Personal Loan,,2015,3.77%,5 years,
27,Unfunded Capital Commitments,5000000,2015,0%,On Demand,
27,Exercised Line of Credit,,2016,0.74%,3 years,
27,Credit Card,50000,2016,7.40%,Revolving line,
