department,last_name,first_name
Department of Labor,Acosta,Rene Alexander
White House,Amin,Stacy
White House,Augustine,Rene I
Environmental Protection Agency,Bangerter,Layne
White House,Bannon,Steve
U.S. Trade and Development Agency,Barrett,Peter
Department of Housing and Urban Development,Bass,Deidre
Department of the Interior,Bernhardt,David L
White House,Blase,Brian C
Department of the Treasury,Bohigian,David
White House,Bossert,Thomas
Department of Housing and Urban Development,Bowes,Robert
White House,Bremberg,Andrew
Department of Energy,Brouillette,Danny R
Securities and Exchange Commission,Carofine,Christopher
Department of Housing and Urban Development,Carson,Benjamin
Department of Education,Chamberlain,Michael
Department of the Treasury,Chung,Jason
White House,Clark,Justin
Department of the Treasury,Claver-Carone,Mauricio
White House,Cohn,Gary
White House,Cordish,Reed
Department of Education,Cox-Roush,Deborah
Environmental Protection Agency,Davis,Patrick
White House,Delrahim,Makan
White House,DeStefano,John
Department of Education,DeVos,Elisabeth P
White House,Diaz-Rosillo,Carlos
White House,Donaldson,Ann
Environmental Protection Agency,Dravis,Samantha
Department of Education,Eck,Kevin
White House,Eisenberg,John
White House,Ellis,Michael
White House,Epshteyn,Boris
White House,Ferre,Helen
White House,Flynn,Michael
Department of Education,Frendewey,Matthew
White House,Gast,Scott
White House,Goldschmidt,Abe E
Environmental Protection Agency,Greaves,Holly
United States Agency for International Development,Green,Mark Andrew
White House,Greenblatt,Jason
White House,Gribbin,David
Environmental Protection Agency,Gunasekara,Amanda
White House,Hagin,Joseph
Department of Education,Ham,Holly
Department of Health and Human Services,Hargan,Eric D
White House,Hassett,Kevin A
Department of the Treasury,Hauptman,Kyle
White House,Herndon,Charles C
White House,Hiler,Jonathan
Department of Education,Hudson,Alexandra
Department of Education,Jones,Amy L
White House,Juster,Kenneth
White House,Karem,Michael J
Department of Housing and Urban Development,Kasper,Maren
White House,Kellogg,Joseph K
White House,Kelly,John F
White House,Koenig,Andrew D
Department of Education,Kossack,Andrew
White House,Kushner,Jared
Export-Import Bank of the United States,Law,Jesse
Department of Education,Lee,Ebony Letise
U.S. Trade and Development Agency,Leppert,Ryan
White House,Liddell,Chris
Federal Emergency Management Agency,Long,William B
White House,Lotter,Marc E
Department of the Treasury,Maloney,Andrew
White House,Manigault,Omarosa
Department of Education,Manning,James
White House,Marshall,Kirk R
White House,Matich,Nicholas T
White House,McGahn,Donald F
White House,McGinley,Bill
White House,Meeks,Daris
White House,Meyer,Joyce Y
Department of the Treasury,Mkrtchian,Edgar
Department of the Treasury,Mnuchin,Steven T
White House,Morgan,Matthew
White House,Mulvaney,John M
White House,Munisteri,Stephen P
Environmental Protection Agency,Munoz,Charles
White House,Navarro,Peter
White House,Niceta,Anna C
White House,O'Hara,Joan
White House,Olmem,Andrew
White House,Paoletta,Mark
Department of Housing and Urban Development,Patenaude,Pamela H
Department of Agriculture,Perdue,George E
Department of Energy,Perry,James Richard
Department of the Treasury,Phillips,Craig
White House,Pitcock,Joshua
Central Intelligence Agency,Pompeo,Michael R
White House,Powell,Dina
Environmental Protection Agency,Pruitt,Edward Scott
Department of Education,Reynolds,Cody
Department of Transportation,Rosen,Jeffrey A
Department of Commerce,Ross,Wilbur L
Department of the Treasury,Rubinstein,Reed
Department of the Treasury,Sandoval,Camilo
Department of Defense,Scher,Robert
White House,Schultz,James D
Environmental Protection Agency,Schwab,Justin
Department of Justice,Sessions,Jefferson B
White House,Short,Marc
White House,Sifakis,George A
White House,Simms,Cindy
White House,Sims,Cliff
Department of the Treasury,Smith,Andrew
White House,Spicer,Sean
Department of State,Sullivan,John J
White House,Teller,Paul
Department of Education,Toner,Jana
White House,Trump,Donald J
White House,Westerhout,Maedeleine
Department of the Air Force,Wilson,Heather A
Department of the Treasury,Wrennall-Montes,Sarah
Department of Education,Young,Patrick
Department of the Interior,Zinke,Ryan
