year,winter_temperature_celsius,spring_temperature_celsius,summer_temperature_celsius,fall_temperature_celsius
1948,0.2,-1.8,0.5,1.7
1949,-2,0.3,-0.2,0.8
1950,-3,-0.9,-0.8,-0.9
1951,-0.3,0.2,-0.3,-0.6
1952,-1.5,1.6,-0.1,0.7
1953,2,1.2,-0.1,1.3
1954,-0.4,-1.4,0.2,1.2
1955,0.8,-0.6,0.7,-0.3
1956,-0.4,-1.4,-0.5,-0.6
1957,-2.1,0.2,-0.5,0.5
1958,1.2,1.2,-0.2,0.1
1959,-0.9,-0.8,-0.5,-1.1
1960,2.5,-0.7,0.3,0.2
1961,0.6,-0.9,0.6,-0.4
1962,-1.6,-0.2,0.1,0.9
1963,0.5,-0.5,0.1,1.1
1964,1.3,-2,-0.6,-0.1
1965,-2,0.1,-0.7,-0.9
1966,-0.4,-0.1,0.2,-0.7
1967,-0.7,-2,-0.1,0.5
1968,0.5,0.7,-1,1.4
1969,0.3,-0.2,-0.4,0.2
1970,1.4,-0.4,0.4,0.2
1971,-1.2,0.5,0.1,0.5
1972,-3.6,-1.3,-0.8,-1.8
1973,-1.3,0.9,0.8,0.6
1974,-1.1,-2,-0.1,-0.5
1975,0.1,-0.1,0.7,0.1
1976,-0.5,0.3,0,0.2
1977,1.6,2,-0.2,0.7
1978,0.3,-0.8,-1,-1.5
1979,-1.7,-0.2,-0.2,0.7
1980,1.8,1.3,0,0.3
1981,2.4,1.6,0.5,1.5
1982,-0.9,-1.3,-0.5,-0.5
1983,0.2,-0.8,0.6,1.1
1984,0,0.9,0.7,-0.7
1985,-0.4,0.2,-0.3,-1.1
1986,1.8,0.4,-0.8,-1.8
1987,3.1,0.9,0,1.2
1988,1.6,1.8,0.7,0.4
1989,0,-0.7,0.9,-0.6
1990,-1,1.2,0.4,-0.8
1991,-0.6,1.1,0.8,-0.5
1992,1,-0.1,-0.9,-0.2
1993,-0.1,1.2,0.2,-0.5
1994,-1.6,0.9,0.8,1.5
1995,1.7,0.8,0.7,0.1
1996,-0.5,-0.5,0.5,-0.3
1997,0.6,-0.7,0.6,0.8
1998,2.8,2.8,1.8,2.5
1999,2.5,2.5,0.6,1.2
2000,2.5,1.3,0.2,0.8
2001,1.3,1.7,0.9,1.6
2002,2.4,-1.8,0.5,0.9
2003,2.1,0.1,0.8,1.6
2004,1.5,-0.5,-0.2,0.7
2005,0.4,2,0.6,1.9
2006,3.9,3,1.3,1.1
2007,3.1,0.3,0.8,0.8
2008,0.4,0.3,0.9,1.6
2009,0.1,-0.5,0.3,1.9
2010,4.1,4,1.2,2.3
2011,2.5,-0.1,1.1,2.1
2012,3.7,1.6,1.8,1.2
2013,1.6,0.5,0.8,1.3
2014,-0.4,-0.6,1,0.5
