Department,last_name,first_name,#,lender_name,debt_type,min_amount,max_amount,year_incurred,rate,term
Department of Labor,Acosta,Rene Alexander,1,Third Federal Savings and Loan of Cleveland,Mortgage on Personal Residence,500001,1000000,2016,2.74,30 years
Department of Labor,Acosta,Rene Alexander,2,Third Federal Savings and Loan of Cleveland,Home Equity Line of Credit,15001,50000,2016,4.49,Revolving
Department of Labor,Acosta,Rene Alexander,3,US Bank,Mortgage on Personal Residence,500001,1000000,2011,3.91,30
Department of Labor,Acosta,Rene Alexander,4,SunTrust,Home Equity Line of Credit,15001,50000,2013,4.15,Revolving
White House,Amin,Stacy,1,U.S. Dept of Education,Student Loan,50001,100000,2004,3.375,30 years
White House,Augustine,Rene I,1,American Express,Credit Card,15001,50000,2017,,
White House,Augustine,Rene I,2,2011 IRREV TR BRIGHTWOOD CAPITAL III REMAINING CAPITAL TO BE CALLED,CAPITAL CALL STRUCTURE ALTERNATIVE INVESTMENT,100001,250000,2014,NA,ON DEMAND
White House,Augustine,Rene I,3,NFD 2009 TR CARLYLE GMS FINANCE REMAINING CAPITAL TO BE CALLED,CAPITAL CALL STRUCTURE ALTERNATIVE INVESTMENT,100001,250000,2014,NA,ON DEMAND
Environmental Protection Agency,Bangerter,Layne,1,Northwest Farm Credit,Personal Loan,100001,250000,2015,5%,4 year
White House,Bannon,Steve,1,HOME LOAN #1,Mortgage (investment/ren tal property),250001,500000,2002,3.13%,30 YEAR
White House,Bannon,Steve,2,HOME LOAN #2,Mortgage (investment/ren tal property),250001,500000,2006,3.63%,Matures January 2037
White House,Bannon,Steve,3,HOME LOAN #3,Mortgage (investment/ren tal property),500001,1000000,2004,3.63%,30 YEAR
White House,Bannon,Steve,4,HOME LOAN #4,Mortgage (investment/ren tal property),100001,250000,2015,4.13%,30 YEAR
White House,Bannon,Steve,5,"CAMBRIDGE ANALYTICA, LLC",SECURED RECOURSE PROMISSORY NOTE,50001,100000,2016,3.50%,5 YEARS
U.S. Trade and Development Agency,Barrett,Peter,1,American Express,Credit Card,10001,15000,2015,17.74% and 29.74%,open-ended
U.S. Trade and Development Agency,Barrett,Peter,2,NY State Higher Education Services,Student Loan,15001,50000,2004,3.63%,8/2036
U.S. Trade and Development Agency,Barrett,Peter,3,NY State Higer Education Services,Student Loan,15001,50000,2004,3.63%,8/2036
Department of Housing and Urban Development,Bass,Deidre,1,Nelnet,Student Loan,15001,50000,2002,4.7,
Department of the Interior,Bernhardt,David L,1,Branch Banking & Trust Company,Mortgage on Personal Residence,500001,1000000,2016,3.50%,30 years
Department of the Interior,Bernhardt,David L,2,Branch Banking & Trust Company,Mortgage on Personal Residence,500001,1000000,2012,4.50%,29 years
White House,Blase,Brian C,1,Nationstar,Mortgage (investment/ren tal property),100001,250000,2005,3.50%,5/1 ARM Mortgage from 2005
Department of the Treasury,Bohigian,David,1,American Express,Credit Card,15001,50000,2017,Paid in Full Every Month,revolving
Department of the Treasury,Bohigian,David,2,"UBS Financial Services, Inc. Line of Credit",Exercised Line of Credit,500001,1000000,2016,3.5,NA- revolving line of credit
White House,Bossert,Thomas,1,Access Group Education Services,Student Loan,50001,100000,2003,1.625,20 year
Department of Housing and Urban Development,Bowes,Robert,1,Chase,Mortgage on Personal Residence,500001,1000000,2011,2.88%,30
Department of Housing and Urban Development,Bowes,Robert,2,Suntrust,Exercised Line of Credit,100001,250000,2011,4.00%,5
White House,Bremberg,Andrew,1,ACS Education Services,Student Loan,15001,50000,2006,1.875,20
Department of Energy,Brouillette,Danny R,1,U.S. Bank,Mortgage on Personal Residence,250001,500000,2013,3.80%,30 years
Securities and Exchange Commission,Carofine,Christopher,1,American Education Services,Student Loan,10001,15000,2006,4.38,141 Months
Department of Housing and Urban Development,Carson,Benjamin,1,S&T Bank,Mortgage on Personal Residence,250001,500000,2013,3.125,30
Department of Housing and Urban Development,Carson,Benjamin,2,Flagstar Bank,Mortgage on Personal Residence,250001,500000,2011,4,10
Department of Education,Chamberlain,Michael,1,Navient,Student Loan,15001,50000,2001,3.875,134 months
Department of the Treasury,Chung,Jason,1,Chase Visa Card Services,,10001,15000,,,
White House,Clark,Justin,1,Great Lakes,Student Loan,100001,250000,2001,4%,30 years
White House,Clark,Justin,2,McCue Mortgage,Mortgage (investment/ren tal property),10001,15000,2006,5.25%,30 years
White House,Clark,Justin,3,Chase,Credit Card,10001,15000,2016,16.49%,revolving
White House,Clark,Justin,4,Sallie Mae,Student Loan,50001,100000,2001,4%,30 years
White House,Clark,Justin,5,Internal Revenue Service,Taxes,15001,50000,2012,n/a,5 years
Department of the Treasury,Claver-Carone,Mauricio,1,TD Bank,Mortgage (investment/ren tal property),250001,500000,2013,3.60%,30-Year
Department of the Treasury,Claver-Carone,Mauricio,2,Ocean Bank,Exercised Line of Credit,50001,100000,2012,2.50%,10-Year
Department of the Treasury,Claver-Carone,Mauricio,3,ACS Education,Student Loan,50001,100000,2002,4.38%,30-year
Department of the Treasury,Claver-Carone,Mauricio,4,Navient,Student Loan,50001,100000,2004,5.38%,30-year
White House,Cohn,Gary,1,"Vintage III Fund Employee Fund, L.P.",Capital Call,50001,100000,2004,n/a,On Demand
White House,Cohn,Gary,2,"GS Mezzanine Partners V PMD QP Fund, L.P.",Capital Call,1000001,5000000,2007,n/a,On Demand
White House,Cohn,Gary,3,"GS Mezzanine Partners 2006 PCP Fund, L.P.",Capital Call,15001,50000,2006,n/a,On Demand
White House,Cohn,Gary,4,"Stone Street PEP Technology Fund 2000, LP",Capital Call,50001,100000,2000,n/a,On Demand
White House,Cohn,Gary,5,"Bridge Street 2012, L.P.",Capital Call,15001,50000,2012,n/a,On Demand
White House,Cordish,Reed,1,American Express,Credit Card,15001,50000,2017,,
Department of Education,Cox-Roush,Deborah,1,American Express,Credit Card,10001,15000,2013,15%,revolving credit
